relationship_id,market_id_a,market_id_b,question_a,question_b,relationship_type,relationship_family,relationship_subtype,outcome_space_id,outcome_subtype_a,outcome_subtype_b,entity_type_a,entity_type_b,stage_a,stage_b,candidate_a,candidate_b,party_a,party_b,team_a,team_b,validation_status,strategy_eligibility_status,strategy_family,mixed_subtype_reason,strategy_eligible_reason,rejection_reasons_json,strategy_exclusion_reasons_json,final_confidence
2d25494e96480450e77183ad9b2454a9,561248,565064,Will Vivek Ramaswamy win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2822
3e724fd557311a758d2ff30d51f096d4,561257,565064,Will Michelle Obama win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2819
0c2bbb1172ebad2c914731d5b11944f4,561262,565064,Will James Talarico win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.28
e3c8cb56e29404983d6aa0a3514460ff,561247,565064,Will Tim Walz win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2795
e95b6dcecc0de2e23c0043829de0c4c2,561258,565064,Will Jamie Dimon win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2785
f2882bb64692933a9e7adb47e2ad9452,561241,565064,Will JB Pritzker win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2779
06eb8de3f348578d5212ece1f4fce7df,540818,573647,New Playboi Carti Album before GTA VI?,Will GPT-6 be released before GTA VI?,rejected,mixed_subtype,album_release_before_reference_vs_movie_release_before_reference,gta_vi_reference_clock,album_release_before_reference,movie_release_before_reference,event,event,temporal,temporal,,,,,,,rejected,ineligible,none,same broad outcome space but different outcome subtypes,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""album_release_before_reference_vs_movie_release_before_reference"", ""detail"": ""same broad outcome space but different outcome subtypes""}]","[{""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.54""}]",0.2771
e916b1eed9b2b3dca25064c383a4cb55,561244,565064,Will Donald Trump Jr. win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2765
8daf151f9737c385edbd72f358471e90,561243,565064,Will Donald Trump win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2756
74619b48e9320daafede268066cda94a,561252,565064,Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2756
0588919fb5757ba381b2acd9e49a13ac,561263,565064,Will Eric Trump win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.51""}]",0.2756
73c04070ff490857838b43f3a1787f6b,561255,565064,Will Ivanka Trump win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2756
0bdd77d3e422f310da192706152eb3c6,561259,565064,Will Ro Khanna win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.275
9f2893717414b1728b2ee69dbc0da2fa,561250,565064,Will Elon Musk win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.275
d35f569ac408a0ba9f40f9907354980f,561229,565064,Will JD Vance win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2745
ab29c3a650ebac63be8170393c149aec,561261,565064,Will Jon Ossoff win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2733
fbd613ce2942adb17aa0e7940d02c2d1,561235,565064,Will Wes Moore win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2733
3ab9645d3305aa7753a43e4712fec8e6,561260,565064,Will Thomas Massie win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2731
0fd03a5450fa049fe88aba1635a46d26,561256,565064,Will Zohran Mamdani win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2729
7d620b6a5740a37d8cf88394d01f5c05,561240,565064,Will Stephen Smith win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2729
e906fb1dbba51adc13f45ab47f8f391a,561238,565064,Will Glenn Youngkin win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2726
11297a83a431c39fb5e2debf36ca336e,561231,565064,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.27
61dd190553f0361fc726b37bcc3b5775,561242,565064,Will Tulsi Gabbard win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.27
17feb22f47cb4979505c2426b7de7de9,561254,565064,Will Kim Kardashian win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.51""}]",0.27
270d24767c9562847fa4314296c5b634,561233,565064,Will Josh Shapiro win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2688
97196aacf20fbde444ef5da1d070710f,561264,565064,Will Pete Hegseth win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.56""}]",0.268
2502768162b199ed335812829da2d413,561252,565065,Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,Will the Democrats win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Democrats,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2676
b8d6b154e8b43a925e92b9e27b42b848,561230,565064,Will Gavin Newsom win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2674
7a9cc4dbf932e4123f399332a534f1cb,561253,565064,Will Tucker Carlson win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2662
41672ffa89c945d4ae361a8759c888a6,540817,540819,New Rihanna Album before GTA VI?,Will Jesus Christ return before GTA VI?,rejected,mixed_subtype,album_release_before_reference_vs_movie_release_before_reference,gta_vi_reference_clock,album_release_before_reference,movie_release_before_reference,event,event,temporal,temporal,,,,,,,rejected,ineligible,none,same broad outcome space but different outcome subtypes,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.060 < 0.5""}, {""code"": ""album_release_before_reference_vs_movie_release_before_reference"", ""detail"": ""same broad outcome space but different outcome subtypes""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2658
